Nr;Rezensionen;WerkNr;Genrezuordnung_ausgeschrieben;Genrezuordnung_formal;Objektbezug-basal;Objektbezug-basal_Anteil_Figuren;Objektbezug-basal_Anteil_Ereignisse;Objektbezug-basal_Anteil_Orte;Objektbezug-basal_unspezifisch_gesamt;Objektbezug-basal_Genese;Objektbezug-basal_Ähnlichkeit;Objektbezug-basal_Referenz;Exemplifikation-basal;Exemplifikation-basal_Anteil_Figuren;Exemplifikation-basal_Anteil_Handlung;Exemplifikation-basal_Anteil_Gesellschaft;Exemplifikation-basal_Anteil_Stimmung;Instanziierung-basal;Klassenidentität-basal;Explizite-Wahrheit-basal_Anzahl;Explizite-Wahrheit-basal_ordinal;Bewertung_explizite_Wahrheit;Implizite-Wahrheit-basal;Bewertung_implizite_Wahrheit;Arg_Auseinandersetzung_impl_expl_Wahrheit;Isomorphie-basal;Immersion;Faktentreue;Anzahl_historischer_Abweichungen;Negative_Bewertung_Abweichungen;Lehrreich;Identifikation_Autor_Erzählerfigur;Impl_Identifikation_Autor_Erzähler;Ästhetische_Wertung;Absprechen_Literaturstatus;Epochenspezifisches_Thema;Universelles_Thema;Thematisierung_Sprache_Stil;Bewertung_Sprache_Stil;Kritik_anderer_Interpretationen;Länge;Jahr
HR-Rez1;Kieler Zeitung, 10.03.1879, Abendausgabe.;0;HR;1;10;2;3;5;10;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;1;1;0;1;1879
HR-Rez2;Kölnische Zeitung, 30.12.1878.;0;R, Erzählung;0;10;3;3;4;10;0;0;0;1;0;0;1;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;1878
HR-Rez3;Wochenblatt der Johanniter-Ordens-Balley Brandenburg, 15.01.1879, S. 17-18.;0;HR, Erzählung;1;9;4;1;4;9;0;0;0;3;3;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;4;0;1;0;1;1;0;1;1879
HR-Rez4;Blätter für literarische Unterhaltung 1, 9 (1879), S. 131-132 (Friedrich Karl Schubert).;0;R;0;3;1;2;0;3;0;0;0;2;2;0;0;0;0;0;0;-;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;1;1879
HR-Rez5;Die Grenzboten 41 (1882), S. 538-546.;0;HR;1;12;3;5;4;12;0;0;0;1;0;0;0;1;0;0;0;-;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;1;1882
HR-Rez6;Hamburger Nachrichten, 15.12.1878, Morgen-Ausgabe;0;R;0;8;2;3;3;8;0;0;0;1;1;0;0;0;0;0;0;-;0;0;0;0;0;0;1;0;0;0;0;1;4;0;1;0;0;0;0;1;1878
HR-Rez7;Neue Evangelische Kirchenzeitung 49 (1878), Sp. 779.;0;HR;1;5;1;1;3;5;0;0;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1878
HR-Rez8;Schwäbische Kronik, 15.12.1878 (W[ilhelm]. L[übke].).;0;HR;1;10;4;2;4;10;0;0;0;7;5;0;1;1;0;0;0;-;0;0;0;0;0;1;0;0;0;0;0;1;4;0;1;0;0;0;0;1;1878
HR-Rez9;Neue Preußische (Kreuz-)Zeitung, 11/12.12.1878.;0;R, Erzählung;0;5;2;0;3;5;0;0;0;6;6;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;1;4;0;1;0;1;1;0;1;1878
HR-Rez10;Magdeburgische Zeitung, 1878 (W[ilhelm] Jensch).;0;HR, Romandichtung, Familienroman, Erzählung;1;10;3;1;6;10;0;0;0;2;0;0;1;1;0;0;0;-;0;1;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;1;0;1;1878
