Nr;NrKritiker;Kritiker;Rezension;WerkNr;Genrezuordnung_ausgeschrieben;Genrezuordnung_formal;Objektbezug-basal;Summe_referenzialisierbare_referenzialisierte Figuren;Objektbezug-basal_Anteil_Figuren;Objektbezug-basal_Anteil_Ereignisse;Objektbezug-basal_Anteil_Orte;Objektbezug-basal_unspezifisch_Orte;Objektbezug-basal_unspezifisch_Ereignisse;Objektbezug-basal_unspezifisch_gesamt;Objektbezug-basal_Ähnlichkeit;Objektbezug-basal_Genese;Referenzialisierbare_Figuren;Objektbezug-basal_unspezifisch_Figuren;Objektbezug-basal_intendiert;Objektbezug-basal_erkennbar;Objektbezug-basal_Referenz;Referenzialisierte_Figuren;Referenzialisierte_unverschlüsselte_Figuren;Exemplifikation-basal;Exemplifikation-basal_Anteil_Figuren;Exemplifikation-basal_Anteil_Gesellschaft;Exemplifikation-basal_Anteil_Stimmung;Instanziierung-basal;Klassenidentität-basal;Explizite-Wahrheit-basal_Anzahl;Explizite-Wahrheit-basal_ordinal;Bewertung_explizite_Wahrheit;Implizite-Wahrheit-basal;Bewertung_implizite_Wahrheit;Arg_Auseinandersetzung_impl_expl_Wahrheit;Isomorphie-basal;Vorkommen_Begriff_Erzähler;Explizite_Unterscheidung_Autor_Erzähler;Identifikation_Autor_Erzählerfigur;Impl_Identifikation_Autor_Erzähler;Ästhetische_Wertung;Absprechen_Literaturstatus;Epochenspezifisches_Thema;Universelles_Thema;Thematisierung_Sprache_Stil;Bewertung_Sprache_Stil;Moralische_Wertung;Kritik_anderer_Interpretationen;Tage_seit_Erstrezension
SR-Rez1;1;Assheuer, Jan;Die Zeit, 02.06.2002 (Jan Assheuer).;0;Kritikerroman, Enthüllungsbuch;0;2;2;2;0;0;0;0;1;0;0;0;1;1;0;1;2;1;1;1;0;0;0;0;0;-;0;3;0;0;0;1;1;0;0;-;0;1;0;0;0;0;0;4
SR-Rez2;2;Kaiser, Joachim;Süddeutsche Zeitung (München), 05.06. 2002 (Joachim Kaiser).;0;"Roman; Literatur-Krimi";0;2;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;2;1;7
SR-Rez3;3;Strigl, Daniela;Der Standard (Album), 06.07.2002, S. 1 (Daniela Strigl).;0;Schlüsselroman, Parabel, Satire;1;4;4;4;0;0;0;0;2;1;0;1;2;1;0;1;3;1;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;2;0;0;1;1;0;-;0;38
SR-Rez4;4;Wimmer, Kurt;Die Furche, 18.07.2002, S. 15 (Kurt Wimmer).;0;Roman;0;2;2;2;0;0;0;0;1;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;50
SR-Rez5;5;Hörisch, Jochen;Frankfurter Rundschau, 27.06.2002, S. 22 (Jochen Hörisch).;0;Schlüsselroman;1;4;4;4;0;0;0;0;4;0;0;0;4;1;0;1;4;1;1;1;0;0;0;0;0;-;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;29
SR-Rez6;6;Klüger, Ruth;Frankfurter Rundschau, 27.06.2002, S. 19 (Ruth Klüger).;0;Roman, Satire;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;3;0;0;0;0;0;-;0;1;0;0;0;0;0;0;0;3;0;1;0;1;1;0;0;29
SR-Rez7;7;Becker, Peter von;Der Tagesspiegel, 27.06.2002, S. 27 (Peter von Becker).;0;"Roman; Nobelkolportage";0;5;2;2;0;3;3;0;4;1;0;0;1;1;1;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;1;0;3;0;1;0;1;1;1;1;29
SR-Rez8;8;Jessen, Jens;Die Zeit, 27.06.2002, S. 45 (Jens Jessen).;0;Literatursatire, Schlüsselroman;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;29
SR-Rez9;9;Reemtsma, Jan Philipp;Frankfurter Allgemeine Zeitung, 27.06.2002, S. 47–48 (Jan Philipp Reemtsma).;0;Roman;0;2;2;2;0;0;0;0;1;0;1;0;1;1;0;1;2;0;2;2;0;0;0;0;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;29
SR-Rez10;10;Pichler, Christian;Oberösterreichische Nachrichten, 05.07.2002, S. 7 (Christian Pichler).;0;Roman, Parodie;0;4;2;2;1;1;1;1;2;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;37
