Jahr;Anzahl_HR;Schöne_Literatur;Anteil HR an schöner Literatur;Paratext_Roman;Paratext_Erzählung;Paratext_Novelle;Paratext_Historischer Roman;Paratext_Geschichtlicher Roman;Paratext_Historische Erzählung;Paratext_Keiner;Prozent_Roman;Prozent_Erzählung;Prozent_Novelle;Prozent_Historischer Roman;Prozent_Geschichtlicher Roman;Prozent_Historische Erzählung;Prozent_Keiner
1785;3;;;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;33.33
1786;2;;;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;50.00
1787;6;;;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1788;5;;;1;0;0;0;0;0;0;20.00;0.00;0.00;0.00;0.00;0.00;0.00
1789;5;;;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;20.00
1790;6;;;0;0;0;0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;33.33
1791;16;;;0;0;0;0;0;0;9;0.00;0.00;0.00;0.00;0.00;0.00;56.25
1792;18;;;0;0;0;0;0;0;8;0.00;0.00;0.00;0.00;0.00;0.00;44.44
1793;15;;;0;0;0;0;0;0;7;0.00;0.00;0.00;0.00;0.00;0.00;46.67
1794;12;;;0;0;0;1;0;0;6;0.00;0.00;0.00;8.33;0.00;0.00;50.00
1795;9;;;0;0;0;0;0;0;4;0.00;0.00;0.00;0.00;0.00;0.00;44.44
1796;11;;;1;0;0;0;0;0;3;9.09;0.00;0.00;0.00;0.00;0.00;27.27
1797;2;;;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;50.00
1798;5;;;0;0;0;0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;40.00
1799;4;;;1;0;0;0;0;0;1;25.00;0.00;0.00;0.00;0.00;0.00;25.00
1800;9;;;0;1;0;0;0;0;3;0.00;11.11;0.00;0.00;0.00;0.00;33.33
1801;7;429;1.63;0;0;0;0;0;0;5;0.00;0.00;0.00;0.00;0.00;0.00;71.43
1802;12;497;2.41;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;8.33
1803;6;433;1.39;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;16.67
1804;13;397;3.27;1;0;0;0;0;0;8;7.69;0.00;0.00;0.00;0.00;0.00;61.54
1805;8;398;2.01;0;0;0;0;0;0;3;0.00;0.00;0.00;0.00;0.00;0.00;37.50
1806;12;280;4.29;0;0;0;0;0;0;4;0.00;0.00;0.00;0.00;0.00;0.00;33.33
1807;0;333;0.00;0;0;0;0;0;0;0;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00
1808;3;223;1.35;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;33.33
1809;0;244;0.00;0;0;0;0;0;0;0;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00
1810;4;296;1.35;0;1;0;0;0;0;0;0.00;25.00;0.00;0.00;0.00;0.00;0.00
1811;2;185;1.08;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;50.00
1812;3;210;1.43;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1813;1;133;0.75;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;100.00
1814;1;169;0.59;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1815;0;146;0.00;0;0;0;0;0;0;0;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00;-2146826281.00
1816;4;182;2.20;1;0;0;0;0;0;1;25.00;0.00;0.00;0.00;0.00;0.00;25.00
1817;4;184;2.17;1;0;0;1;0;0;1;25.00;0.00;0.00;25.00;0.00;0.00;25.00
1818;3;231;1.30;1;0;0;0;0;0;0;33.33;0.00;0.00;0.00;0.00;0.00;0.00
1819;1;213;0.47;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;100.00
1820;9;237;3.80;1;1;0;1;0;0;2;11.11;11.11;0.00;11.11;0.00;0.00;22.22
1821;10;248;4.03;0;1;0;1;0;0;0;0.00;10.00;0.00;10.00;0.00;0.00;0.00
1822;10;295;3.39;1;3;0;1;0;0;1;10.00;30.00;0.00;10.00;0.00;0.00;10.00
1823;14;371;3.77;1;3;1;1;0;0;2;7.14;21.43;7.14;7.14;0.00;0.00;14.29
1824;25;339;7.37;5;4;0;1;0;0;4;20.00;16.00;0.00;4.00;0.00;0.00;16.00
1825;29;323;8.98;1;9;0;3;0;0;5;3.45;31.03;0.00;10.34;0.00;0.00;17.24
1826;50;367;13.62;2;10;2;6;0;0;8;4.00;20.00;4.00;12.00;0.00;0.00;16.00
1827;43;399;10.78;4;3;2;3;0;2;9;9.30;6.98;4.65;6.98;0.00;4.65;20.93
1828;37;423;8.75;1;3;1;3;0;1;6;2.70;8.11;2.70;8.11;0.00;2.70;16.22
1829;30;249;12.05;1;3;0;1;1;2;5;3.33;10.00;0.00;3.33;3.33;6.67;16.67
1830;52;304;17.11;1;2;3;6;3;4;5;1.92;3.85;5.77;11.54;5.77;7.69;9.62
1831;37;462;8.01;2;2;3;6;1;4;5;5.41;5.41;8.11;16.22;2.70;10.81;13.51
1832;41;516;7.95;3;1;4;7;1;0;7;7.32;2.44;9.76;17.07;2.44;0.00;17.07
1833;41;610;6.72;1;2;1;5;1;1;8;2.44;4.88;2.44;12.20;2.44;2.44;19.51
1834;48;464;10.34;1;4;6;6;0;3;7;2.08;8.33;12.50;12.50;0.00;6.25;14.58
1835;42;658;6.38;3;5;2;10;0;2;6;7.14;11.90;4.76;23.81;0.00;4.76;14.29
1836;42;509;8.25;5;5;1;8;1;4;7;11.90;11.90;2.38;19.05;2.38;9.52;16.67
1837;40;589;6.79;1;2;4;7;0;3;7;2.50;5.00;10.00;17.50;0.00;7.50;17.50
1838;36;726;4.96;2;1;1;11;1;0;4;5.56;2.78;2.78;30.56;2.78;0.00;11.11
1839;33;813;4.06;1;1;2;10;0;3;5;3.03;3.03;6.06;30.30;0.00;9.09;15.15
1840;32;824;3.88;4;1;0;7;1;3;4;12.50;3.13;0.00;21.88;3.13;9.38;12.50
