Die Zeit, 02.06.2002 (Jan Assheuer).;02;06;2002;4;
Süddeutsche Zeitung (München), 05.06. 2002 (Joachim Kaiser).;05;06;2002;7;
Der Standard (Album), 06.07.2002, S. 1 (Daniela Strigl).;06;07;2002;38;
Die Furche, 18.07.2002, S. 15 (Kurt Wimmer).;18;07;2002;50;
Frankfurter Rundschau, 27.06.2002, S. 22 (Jochen Hörisch).;27;06;2002;29;
Frankfurter Rundschau, 27.06.2002, S. 19 (Ruth Klüger).;27;06;2002;29;
Der Tagesspiegel, 27.06.2002, S. 27 (Peter von Becker).;27;06;2002;29;
Die Zeit, 27.06.2002, S. 45 (Jens Jessen).;27;06;2002;29;
Frankfurter Allgemeine Zeitung, 27.06.2002, S. 47–48 (Jan Philipp Reemtsma).;27;06;2002;29;
Oberösterreichische Nachrichten, 05.07.2002, S. 7 (Christian Pichler).;05;07;2002;37;
Die Presse (Spectrum), 29.06.2002, S. V (Christoph Bartmann).;29;06;2002;31;
Neues Deutschland, 26.06.2002, S. 9 (Hans-Dieter Schütt).;26;06;2002;28;
Die Welt, 27.06.2002, S. 28 (Tilman Krause).;27;06;2002;29;
Der Freitag, 14.06.2002, S. 14 (Ingo Arend).;14;06;2002;16;
Die Zeit, 06.06.2002, S. 39 (Ulrich Greiner).;06;06;2002;8;
die tageszeitung, 17.06.2002, S. 20 (Klaus Bittermann).;17;06;2002;19;
Neue Zürcher Zeitung, 01.06.2002, S. 33 (Martin Meyer).;01;06;2002;3;
Tiroler Tageszeitung (Magazin), 08.06.2002, S. 6 (Sabine Strobl).;08;06;2002;10;
Der Freitag, 07.06.2002, S. 11 (Ulrich Müller-Schöll).;07;06;2002;9;
Rheinischer Merkur, 06.06.2002, S. 8 (Ulrich Baron).;06;06;2002;8;
Rheinischer Merkur, 06.06.2002, S. 8 (Andreas Öhler).;06;06;2002;8;
Vorarlberger Nachrichten, 15.06.2002, S. D11 (o. V.);15;06;2002;17;
Der Standard, 03.06.2002, S. 22 (Richard Reichensperger).;03;06;2002;5;
profil, 03.06.2002, S. 132 (Willi Winkler).;03;06;2002;5;
Der Spiegel, 03.06.2002, S. 182–184 (Elke Schmitter).;03;06;2002;5;
Der Tagesspiegel, 31.05.2002, S. 29 (Hellmuth Karasek).;31;05;2002;2;
Süddeutsche Zeitung (München), 31.05.2002 (Lothar Müller).;31;05;2002;2;
Frankfurter Allgemeine Zeitung, 29.05.2002 (Frank Schirrmacher).;29;05;2002;0;
Literaturkritik.de, 01.06.2002 (www.literaturkritik.de/public/rezension.php?rez_id=5079, zuletzt abgerufen: 15.01.15) (Kai Köhler).;01;06;2002;3;
Perlentaucher.de, 05.06.2002 (http://www.perlentaucher.de/vom-nachttisch-geraeumt/martin-walsers-tod-eines-kritikers.html, zuletzt abgerufen: 16.02.2015) (Arno Widmann).;05;06;2002;7;
Frankfurter Rundschau, 31.05.2002, S. 17 (Marius Meller).;31;05;2002;2;
Kurier (Österreich), 22.06.2002, S.30 (o. V.).;22;06;2002;24;
Sonntagszeitung, 02.06.2002, S. 51 (Matthias Lerf).;02;06;2002;4;
Lausitzer Rundschau, 03.06.2002 (Ulrike Koltermann).;03;06;2002;5;
Main-Taunus-Kurier, 03.07.2002 (Viola Bolduan).;03;07;2002;35;
Südkurier, 05.06.2002 (S. Dettlinger).;05;06;2002;7;
Die Presse, 01.06.2002 (Wolfgang Freitag).;01;06;2002;3;
Frankfurter Neue Presse, 27.06.2002, S. 3 (Michael Kluger).;27;06;2002;29;
die tageszeitung, 01.06.2002 (Dirk Knipphals).;01;06;2002;3;
Handelsblatt, 14.06.2002 (Jörg Magenau).;14;06;2002;16;
Bonner General-Anzeiger, 05.06.2002, S. 12 (Peter Mohr).;05;06;2002;7;
Hamburger Morgenpost, 21.06.2002 (Ira Panic).;21;06;2002;23;
Saarbrücker Zeitung, 26.06.2002 (Christoph Schreiner).;26;06;2002;28;
Hamburger Abendblatt, 25.06.2002, S. 8 (Armgard Seegers).;25;06;2002;27;
Berliner Zeitung, 28.06.2002, S. 9 (Stephan Speicher).;28;06;2002;30;
Nordkurier, 04.06.2002 (Detlef Stapf).;04;06;2002;6;
Kölnische Rundschau, 28.06.2002 (Hartmut Wilmes).;28;06;2002;30;
Wormser, Zeitung, 04.06.2002 (Jens Frederiksen).;04;06;2002;6;
Thüringer Allgemeine, 05.06.2002 (Henryk Goldberg).;05;06;2002;7;
Rhein-Zeitung, 06.06.2002 (Andreas Pecht).;06;06;2002;8;
Rheinische Post, 01.06.2002 (Lothar Schröder).;01;06;2002;3;
Rheinische Post, 25.06.2002 (Rafael Seligmann).;25;06;2002;27;
Die Rheinpfalz, 04.06.2002 (Markus Clauer).;04;06;2002;6;
Mitteldeutsche Zeitung, 31.05.2002 (Christian Eger).;31;05;2002;2;
Berliner Zeitung, 01.06.2002, S. 11 (Harald Jähner).;01;06;2002;3;
Kölner Stadt-Anzeiger, 27.06.2002 (Martin Oehlen).;27;06;2002;29;
Die Welt, 31.05.2002 (Ulrich Weinzierl).;31;05;2002;2;
Badische Zeitung, 03.06.2002 (Bettina Schulte).;03;06;2002;5;
Mannheimer Morgen, 27.06.2002, S. 8 (Thomas Groß).;27;06;2002;29;
Jüdische Allgemeine, 06.06.2002 (Michael Wuliger).;06;06;2002;8;
Die Welt (Die literarische Welt), 01.03.2003, S. 4. (Uwe Wittstock).;01;03;2003;276;
