;Jahr;Untertitel.Zeitroman
0;1800;0
1;1801;0
2;1802;0
3;1803;0
4;1804;0
5;1805;0
6;1806;0
7;1807;0
8;1808;0
9;1809;0
10;1810;0
11;1811;0
12;1812;0
13;1813;0
14;1814;0
15;1815;0
16;1816;0
17;1817;0
18;1818;0
19;1819;0
20;1820;0
21;1821;0
22;1822;0
23;1823;0
24;1824;0
25;1825;0
26;1826;0
27;1827;0
28;1828;0
29;1829;0
30;1830;0
31;1831;0
32;1832;0
33;1833;0
34;1834;0
35;1835;0
36;1836;0
37;1837;0
38;1838;0
39;1839;0
40;1840;0
41;1841;0
42;1842;0
43;1843;0
44;1844;0
45;1845;1
46;1846;0
47;1847;1
48;1848;0
49;1849;0
50;1850;0
51;1851;1
52;1852;0
53;1853;0
54;1854;0
55;1855;0
56;1856;1
57;1857;0
58;1858;1
59;1859;0
60;1860;0
61;1861;0
62;1862;0
63;1863;0
64;1864;1
65;1865;0
66;1866;0
67;1867;0
68;1868;0
69;1869;1
70;1870;0
71;1871;1
72;1872;2
73;1873;2
74;1874;3
75;1875;2
76;1876;1
77;1877;0
78;1878;0
79;1879;0
80;1880;1
81;1881;0
82;1882;1
83;1883;0
84;1884;2
85;1885;0
86;1886;2
87;1887;2
88;1888;2
89;1889;1
90;1890;1
91;1891;0
92;1892;0
93;1893;1
94;1894;1
95;1895;1
96;1896;1
97;1897;1
98;1898;2
99;1899;3
100;1900;0
101;1901;1
102;1902;0
103;1903;3
104;1904;1
105;1905;2
106;1906;1
107;1907;4
108;1908;3
109;1909;4
110;1910;1
111;1911;0
112;1912;2
113;1913;0
114;1914;2
115;1915;2
116;1916;1
117;1917;3
118;1918;1
119;1919;2
120;1920;1
121;1921;5
122;1922;5
123;1923;1
124;1924;1
125;1925;0
126;1926;1
127;1927;2
128;1928;2
129;1929;2
130;1930;0
131;1931;1
132;1932;0
133;1933;0
134;1934;1
135;1935;4
136;1936;2
137;1937;0
138;1938;1
139;1939;1
140;1940;0
141;1941;0
142;1942;0
143;1943;1
144;1944;0
145;1945;0
146;1946;0
147;1947;0
148;1948;0
149;1949;0
150;1950;0
151;1951;0
152;1952;0
153;1953;0
154;1954;0
155;1955;1
156;1956;0
157;1957;0
158;1958;0
159;1959;0
160;1960;0
161;1961;0
162;1962;0
163;1963;0
164;1964;0
165;1965;0
166;1966;0
167;1967;0
168;1968;0
169;1969;0
170;1970;1
171;1971;0
172;1972;0
173;1973;0
174;1974;0
175;1975;0
176;1976;0
177;1977;0
178;1978;0
179;1979;0
180;1980;0
181;1981;0
182;1982;0
183;1983;1
184;1984;0
185;1985;1
186;1986;0
187;1987;0
188;1988;0
189;1989;0
190;1990;0
191;1991;0
192;1992;0
193;1993;0
194;1994;0
195;1995;0
196;1996;0
197;1997;0
198;1998;0
199;1999;0
200;2000;0
201;2001;1
202;2002;0
203;2003;0
204;2004;2
205;2005;1
206;2006;0
207;2007;0
208;2008;1
209;2009;0
210;2010;1
211;2011;1
212;2012;0
213;2013;0
214;2014;0
215;2015;0
216;2016;0
217;2017;1
218;2018;1
219;2019;0
