risn;XX_PE_listview_title_PE0100;AA425;TITREG;A0335;Dokumententyp;A0403;A0410;A0412;ISBN;Zeitschrift/Zeitung;DOI;Band;Nummer;Datum;Seiten von–bis
1;Zapp, Arthur;1908;Hurraschreier;Ein Zeitroman;Buch (Monographie);;Dresden;Reißner;;;;;;;
2;Worms, Karl;1910;Du bist mein;Ein Zeitroman in zwei Büchern von Carl Worms;Buch (Monographie);2.Aufl.;Stuttgart & Berlin;Cotta;;;;;;;
3;Winterfeld, Achim;-1927;Als ich einst Prinz war von Arkadien ...;Satirischer Zeitroman;Buch (Monographie);;Warendorf i. W.;Verlag Peter Heine & Co;;;;;;;
4;;1903;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;Zeitroman nach Aufzeichnungen u. Mitteilungen d. Scharfrichters  Wilhelm Reindel;Buch (Monographie);;Berlin;A. Weichert;;;;;;;
5;Wicha, Ute;1980;Der deutsche Zeitroman im Vormärz;;Buch (Monographie);;Bremen;;;;;;;;
6;Wehrlin, Robert;1912;Der Fabrikant;Ein schweizerischer Zeitroman;Buch (Monographie);5. Aufl.;Stuttgart;Engelhorn;;;;;;;
7;van Oestéren, Friedrich Werner;1917;"Der Schatten der Gorgo ; Ein Zeitroman von 1916 von Fr[iedrich]  W[erner] v[an] Oestéren";;Buch (Monographie);;Stuttgart & Berlin;Deutsche Verl.-Anst;;;;;;;
8;;1874;Um Szepter und Kronen;Zeitroman;Buch (Monographie);;;;;;;3;;;
9;Tatlock, Lynne;1984;Willibald Alexis’ Zeitroman Das Haus Düsterweg and the Vormärz;;Buch (Monographie);;Frankfurt a.M., Bern [usw.];P. Lang;;;;19);;;
10;Tamm, Traugott;-1922;Haus Thormälen;Zeitroman;Buch (Monographie);;Braunschweig & Hamburg;G. Westermann;;;;;;;
11;Szarota, Elida Maria;1970;Lohensteins Arminius als Zeitroman;Sichtweisen des Spätbarock;Buch (Monographie);;Bern [u.a.];Francke;;;;;;;
12;Szafranski, Telesfor;1909;"Goldauge ; Torn, Teo v. [d.i. Szafranski, Telesfor]; Zeitroman";;Buch (Monographie);;Mülheim a.d.Ruhr;Bagel;;;;Nr 7071-7072);;;
13;Szafranski, Telesfor;1909;"Goldauge ; Torn, Teo v. [d.i. Szafranski, Telesfor]; Zeitroman";;Buch (Monographie);;Mülheim a.d.Ruhr;Bagel;;;;Nr 7071-7072);;;
14;Szafranski, Telesfor;1909;Goldauge;"Torn, Teo v. [d.i. Szafranski, Telesfor] ; Zeitroman";Unklarer Dokumententyp;;;;;;;;;;
15;Suttner, Arthur Gundaccar;1899;Sie wollen nicht;Zeitroman von A[rtur] Gundaccar v. Suttner;Unklarer Dokumententyp;;;;;;;;;;
16;Stratz, Rudolf;2011;Unter den Linden;Berliner Zeitroman aus den neunziger Jahren;Buch (Monographie);;Hamburg;tredition;;;;;;;
17;Stratz, Rudolf;1921;Unter den Linden;Berliner Zeitroman aus d. neunziger Jahren;Buch (Monographie);(15. Aufl.);Berlin;E. Fleischel;;;;;;;
18;Stoffregen, Goetz Otto;1921;Vaterland!;Ein Zeitroman;Buch (Monographie);1. - 5. Aufl.;Bensheim;Trutzeiche;;;;;;;
19;Stilgebauer, Edward;-1912;Das rote Gold;Satirischer Zeitroman von Edward Stilgebauer;Buch (Monographie);;Dresden;Reissner;;;;;;;
20;Steinhoff, Werner;1935;"Hier Grand Hotel Addis Abeba! ; Abessinischer Zeitroman";;Buch (Monographie);;Berlin;Reichsbund-Druckerei;;;;;;;
21;Skowronnek, Fritz;ca. 1920;Zertrümmerte Götzen;Ostpreußischer Zeitroman;Buch (Monographie);;Berlin;Janke;;;;;;;
22;Skowronnek, Fritz;1928;Zertrümmerte Götzen;Ostpreußischer Zeitroman;Buch (Monographie);;Dresden [u.a.];Wodni, Lindecke & Köbel [u.a.];;;;2;;;
23;Skowronnek, Fritz;1928;Gesammelte Werke;Zertrümmerte Götzen;Buch (Monographie);;Dresden-A.;Wodni, Lindecke & Ködel [u.a.];;;;2;;;
24;Skowronnek, Fritz;1916;Zertrümmerte Götzen;Ostpreuß. Zeitroman von Fritz Skowronnek;Buch (Monographie);;Berlin;Janke;;;;;;;
25;Skowronnek, Fritz;1901;Zertrümmerte Götzen;Ostpreußischer Zeitroman;Buch (Monographie);;Berlin;Janke;;;;;;;
26;Simon, Anna;1898;Doktor Örtling;Zeitroman aus d. Gegenwart;Buch (Monographie);;Berlin;;;;;;;;
27;Schwarz-Norberg, Eleonore;1884-;Gefährliche Verbindungen;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
28;Schöfer, Erasmus;2018-2018;Die Kinder des Sisyfos;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
29;Schöfer, Erasmus;2011;Zwielicht;Roman;Buch (Monographie);;[Berlin];Dittrich;;;;[Bd. 2];;;
30;Schöfer, Erasmus;2011;Ein Frühling irrer Hoffnung;Roman;Buch (Monographie);4. Aufl.;[Berlin];Dittrich;;;;[Bd. 1];;;
31;Schöfer, Erasmus;2011;Die Kinder des Sisyfos. Roman-Tetralogie/Zwielicht;Die Kinder des  Sysifos. Zeitroman;Buch (Monographie);2. Aufl.;Berlin;Dittrich;;;;;;;
32;Schöfer, Erasmus;2009;Sonnenflucht;"Die Kinder des Sisyfos ; Zeitroman";Buch (Monographie);2. Aufl.;Berlin;Dittrich;;;;;;;
33;Schöfer, Erasmus;2009;Sonnenflucht;Roman;Buch (Monographie);2. Aufl.;Berlin;Dittrich;;;;[Bd. 3];;;
34;Schöfer, Erasmus;2008;Winterdämmerung;"Die Kinder des Sisyfos ; Zeitroman";Buch (Monographie);;Berlin;Dittrich;;;;;;;
35;Schöfer, Erasmus;2008;Winterdämmerung;Roman;Buch (Monographie);;Berlin;Dittrich;;;;Bd. 4;;;
36;Schöfer, Erasmus;2007;Ein Frühling irrer Hoffnung;;Buch (Monographie);3. Aufl.;[Berlin];Dittrich;;;;[Bd. 1];;;
37;Schöfer, Erasmus;2007;Ein Frühling irrer Hoffnung;"Die Kinder des Sisyfos ; Zeitroman";Buch (Monographie);3. Aufl.;Berlin;Dittrich;;;;;;;
38;Schöfer, Erasmus;2005;Sonnenflucht;Die Kinder des Sisyfos : Zeitroman;Buch (Monographie);;Berlin;Dittrich Verlag;;;;;;;
39;Schöfer, Erasmus;2004;Zwielicht;Die Kinder des Sisyfos : Zeitroman;Buch (Monographie);;[Köln];Dittrich Verlag;;;;;;;
40;Schöfer, Erasmus;2004;Zwielicht;;Buch (Monographie);;[Berlin];Dittrich;;;;[Bd. 2];;;
41;Schöfer, Erasmus;2004-;Die Kinder des Sisyfos;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
42;Schöfer, Erasmus;2002;Ein Frühling irrer Hoffnung;"Die Kinder des Sisyfos ; Zeitroman";Buch (Monographie);2. Aufl.;Köln;Dittrich;;;;;;;
43;Schöfer, Erasmus;2001;Ein Frühling irrer Hoffnung;Die Kinder des Sisyfos : Zeitroman;Buch (Monographie);;Köln;Dittrich Verlag;;;;;;;
44;Schiller, Dieter;2010;"Mit Geschichte will man etwas""";Geschichtsroman und Zeitroman in  der deutschen Exilliteratur 1933 - 1945;Buch (Monographie);;Berlin;Helle Panke;;;;Heft 142;;;
45;Schacht, Roland;-1955;Aufstand der Asketen;"Schacht, Roland ; Ein heiterer Zeitroman.  (Ill. v. Eberhard Schlotter)";Buch (Monographie);;(Düsseldorf, Köln);Diederichs;;;;;;;
46;Samarow, Gregor;1876;Um Szepter und Kronen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
47;Samarow, Gregor;1876;Um Szepter und Kronen;Held und Kaiser. Bd 3. 1876. Bd 4. 1876;Buch (Monographie);;Stuttgart;Hallbergen;;;;5. u. letzte Abth;;;
48;Sack, Volker;1985;Zeitstück und Zeitroman in der Weimarer Republik;"Ödön von  Horváth: Kasimir und Karoline ; Irmgard Keun: Das kunstseidene Mädchen";Buch (Monographie);;Stuttgart;Klett;;;;;;;
49;Sack, Volker;1985;Zeitstück und Zeitroman in der Weimarer Republik;"Ödön von  Horváth: Kasimir und Karoline ; Irmgard Keun: Das kunstseidene Mädchen";Buch (Monographie);1. Aufl., 1. Dr;Stuttgart;Klett;;;;;;;
50;Sack, Volker;1985;Zeitstück und Zeitroman in der Weimarer Republik;"Ödon von  Horváth: Kasimir und Karoline; Irmgard Keun: Das kunstseidene Mädchen";Buch (Monographie);1. Aufl.;Stuttgart;Klett;;;;;;;
51;Ropp, Max Alexis von der;1908;Elkesragge;Ein baltischer Zeitroman;Buch (Monographie);2. Aufl.;Berlin;Fleischel;;;;;;;
52;Ropp, Max Alexis von der;1907;Elkesragge;Ein baltischer Zeitroman von Max Alexis v. der Ropp;Buch (Monographie);;Berlin;E. Fleischel & Co;;;;;;;
53;Ropp, Max Alexis von der;1907;Elkesragge;Ein baltischer Zeitroman;Buch (Monographie);;Berlin;Fleischel;;;;;;;
54;Romanus, Helius;1908;Modernisten;"Helius Romanus ; Zeit-Roman";Buch (Monographie);;Berlin-Leipzig;C. Wigand;;;;;;;
55;Ring, Max;1888;Streber und Kämpfer;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
56;Ring, Max;1888;Streber und Kämpfer;;Buch (Monographie);;Jena;Costenoble;;;;Bd. 1;;;
57;Ring, Max;1888;Streber und Kämpfer;;Buch (Monographie);;Jena;Costenoble;;;;Bd. 2;;;
58;Ring, Max;1874-;Unfehlbar;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
59;Ring, Max;1874-;Unfehlbar;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
60;Ring, Max;1874;Unfehlbar;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
61;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;1;;;
62;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;1;;;
63;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;Bd. 1;;;
64;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;Bd. 2;;;
65;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;Bd. 3;;;
66;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;4;;;
67;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;4;;;
68;Ring, Max;1874;Unfehlbar;;Buch (Monographie);;Jena;Costenoble;;;;Bd. 4;;;
69;Ring, Max;1869;Fürst und Musiker;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
70;Ring, Max;1869;Fürst und Musiker;;Buch (Monographie);;Berlin;;;;;Bd. 1;;;
71;Ring, Max;1869;Fürst und Musiker;;Buch (Monographie);;Berlin;;;;;Bd. 2;;;
72;Ring, Max;1869;Fürst und Musiker;;Buch (Monographie);;Berlin;;;;;Bd. 3;;;
73;Retcliffe, John;1876;Des Cäsars Ende;;Buch (Monographie);;Berlin;;;;;1;;;
74;Retcliffe, John;1876;Des Cäsars Ende;;Buch (Monographie);;Berlin;;;;;2;;;
75;Retcliffe, John;;Des Cäsars Ende;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
76;Reindel, Wilhelm;1903;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;Zeitroman nach Aufzeichnungen und Mitteilungen des Scharfrichters  Wilhelm Reindel;Buch (Monographie);;Berlin;Weichert;;;;;;;
77;Reimann, Hans;1923;Die Dinte wider das Blut;Ein Zeitroman;Schriften eines Autors;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 31. -  35. Tsd., verb. und verm. Aufl.;Hannover;Steegemann;;;;132/134];;;
78;Reimann, Hans;1922;Die Dinte wider das Blut;Ein Zeitroman;Schriften eines Autors;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 21. -  30. Tsd., verb. und verm. Aufl.;Hannover;Steegemann;;;;132/134;;;
79;Reimann, Hans;1921;Die Dinte wider das Blut;Ein Zeitroman;Schriften eines Autors;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 6. -  10. Tsd., verb. und verm. Aufl.;Hannover;Steegemann;;;;132/134;;;
80;Reimann, Hans;1921;Die Dinte wider das Blut;Ein Zeitroman;Schriften eines Autors;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 1. -  5. Tsd., verb. und verm. Aufl.;Hannover;Steegemann;;;;132/134;;;
81;Reimann, Hans;1921;Die Dinte wider das Blut;Ein Zeitroman;Schriften eines Autors;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 11. -  20. Tsd., verb. und verm. Aufl.;Hannover;Steegemann;;;;132/134;;;
82;Reimann, Hans;1921;Die Dinte wider das Blut;Ein Zeitroman;Buch (Monographie);39. wildgewordene und vermasselte Aufl. - 640. - 683. Tsd;Hannover [u.a.];Steegemann;;;;132/134;;;
83;Reimann, Hans;1921;Die Dinte wider das Blut;Ein Zeitroman;Schriften eines Autors;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 11. -  20. Tsd., verb. und verm. Aufl.;Hannover;Steegemann;;;;132/134;;;
84;Prosper, E.;1909;Was ich in Plaskowitsch erlebt;Ein Zeitroman;Buch (Monographie);;Graz [u.a.];"Verl.-Buchh. ""Styria";;;;;;;
85;Polko, Karl;1907;Soziale Klippen;Ein Zeitroman von Karl Polko;Buch (Monographie);;Dresden;Reißner;;;;;;;
86;Pérez, Galdós Benito;1880;Gloria;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
87;Pérez, Galdós Benito;1880;Gloria;;Schriften eines Autors;;Berlin;;;;;Theil 1;;;
88;Pérez, Galdós Benito;1880;Gloria;;Schriften eines Autors;;Berlin;;;;;Theil 2;;;
89;Pappritz, A.;nach 1894;Vorurteile;Ein Zeitroman aus dem märkischen Gesellschaftsleben;Buch (Monographie);;Berlin;Rüger;;;;;;;
90;Pappritz, Anna;1894?;Vorurteile;E. Zeitroman aus d. märkischen Gesellschaftsleben;Unklarer Dokumententyp;;;;;;;;;;
91;Pappritz, Anna;1894?;Vorurteile;;Buch (Monographie);;Berlin;M. Rüger;;;;Tl 1;;;
92;Pappritz, Anna;1894?;Vorurteile;;Buch (Monographie);;Berlin;M. Rüger;;;;Tl 2;;;
93;Pappritz, A.;1894;Vorurteile;;Buch (Monographie);;Berlin;Rüger;;;;;;;
94;Pappritz, A.;1894;Vorurteile;;Buch (Monographie);;Berlin;Rüger;;;;;;;
95;Otto-Peters, Louise;1883;Verbrüderungsfeste;;Buch (Monographie);2. Ausg;Norden [u.a.];Fischer;;;;Bd. 2;;;
