author;title;subtitle;title_without_sub;edition;genre;date;location;publishing-house;pages;genre-by-librarian;title_id
Zapp, Arthur;Hurraschreier;Ein Zeitroman;Hurraschreier;;;1908;dresden;reißner;;;1
Winterfeld, Achim;Als ich einst Prinz war von Arkadien ...;Satirischer Zeitroman;Als ich einst Prinz war von Arkadien ...;;;1927;warendorf i. w.;verlag peter heine & co;;;3
;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;Zeitroman nach Aufzeichnungen u. Mitteilungen d. Scharfrichters  Wilhelm Reindel;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;;;1903;berlin;a. weichert;;;4
Wicha, Ute;Der deutsche Zeitroman im Vormärz;;Der deutsche Zeitroman im Vormärz;;;1980;bremen;;;;5
van Oestéren, Friedrich Werner;"Der Schatten der Gorgo ; Ein Zeitroman von 1916 von Fr[iedrich]  W[erner] v[an] Oestéren";;"Der Schatten der Gorgo ; Ein Zeitroman von 1916 von Fr[iedrich]  W[erner] v[an] Oestéren";;;1917;stuttgart & berlin;deutsche verl.-anst;;;7
;Um Szepter und Kronen;Zeitroman;Um Szepter und Kronen;;;1874;;;;;8
Tatlock, Lynne;Willibald Alexis’ Zeitroman Das Haus Düsterweg and the Vormärz;;Willibald Alexis’ Zeitroman Das Haus Düsterweg and the Vormärz;;;1984;frankfurt a.m., bern [usw.];p. lang;;;9
Tamm, Traugott;Haus Thormälen;Zeitroman;Haus Thormälen;;;1922;braunschweig & hamburg;g. westermann;;;10
Szarota, Elida Maria;Lohensteins Arminius als Zeitroman;Sichtweisen des Spätbarock;Lohensteins Arminius als Zeitroman;;;1970;bern [u.a.];francke;;;11
Szafranski, Telesfor;"Goldauge ; Torn, Teo v. [d.i. Szafranski, Telesfor]; Zeitroman";;"Goldauge ; Torn, Teo v. [d.i. Szafranski, Telesfor]; Zeitroman";;;1909;mülheim a.d.ruhr;bagel;;;12
Szafranski, Telesfor;Goldauge;"Torn, Teo v. [d.i. Szafranski, Telesfor] ; Zeitroman";Goldauge;;;1909;;;;;14
Suttner, Arthur Gundaccar;Sie wollen nicht;Zeitroman von A[rtur] Gundaccar v. Suttner;Sie wollen nicht;;;1899;;;;;15
Stratz, Rudolf;Unter den Linden;Berliner Zeitroman aus den neunziger Jahren;Unter den Linden;;;2011;hamburg;tredition;;;16
Stoffregen, Goetz Otto;Vaterland!;Ein Zeitroman;Vaterland!;1. - 5. Aufl.;;1921;bensheim;trutzeiche;;;18
Stilgebauer, Edward;Das rote Gold;Satirischer Zeitroman von Edward Stilgebauer;Das rote Gold;;;1912;dresden;reissner;;;19
Steinhoff, Werner;"Hier Grand Hotel Addis Abeba! ; Abessinischer Zeitroman";;"Hier Grand Hotel Addis Abeba! ; Abessinischer Zeitroman";;;1935;berlin;reichsbund-druckerei;;;20
Skowronnek, Fritz;Gesammelte Werke;Zertrümmerte Götzen;Gesammelte Werke;;;1928;dresden-a.;wodni, lindecke & ködel [u.a.];;;23
Skowronnek, Fritz;Zertrümmerte Götzen;Ostpreußischer Zeitroman;Zertrümmerte Götzen;;;1901;berlin;janke;;;25
Simon, Anna;Doktor Örtling;Zeitroman aus d. Gegenwart;Doktor Örtling;;;1898;berlin;;;;26
Schwarz-Norberg, Eleonore;Gefährliche Verbindungen;Zeit-Roman;Gefährliche Verbindungen;;;1884;;;;;27
Schöfer, Erasmus;Winterdämmerung;"Die Kinder des Sisyfos ; Zeitroman";Winterdämmerung;;;2008;berlin;dittrich;;;34
Schöfer, Erasmus;Sonnenflucht;Die Kinder des Sisyfos : Zeitroman;Sonnenflucht;;;2005;berlin;dittrich verlag;;;38
Schöfer, Erasmus;Zwielicht;Die Kinder des Sisyfos : Zeitroman;Zwielicht;;;2004;[köln];dittrich verlag;;;39
Schöfer, Erasmus;Die Kinder des Sisyfos;Zeitroman;Die Kinder des Sisyfos;;;2004;;;;;41
Schöfer, Erasmus;Ein Frühling irrer Hoffnung;Die Kinder des Sisyfos : Zeitroman;Ein Frühling irrer Hoffnung;;;2001;köln;dittrich verlag;;;43
Schiller, Dieter;"Mit Geschichte will man etwas""";Geschichtsroman und Zeitroman in  der deutschen Exilliteratur 1933 - 1945;"Mit Geschichte will man etwas""";;;2010;berlin;helle panke;;;44
Schacht, Roland;Aufstand der Asketen;"Schacht, Roland ; Ein heiterer Zeitroman.  (Ill. v. Eberhard Schlotter)";Aufstand der Asketen;;;1955;(düsseldorf, köln);diederichs;;;45
Samarow, Gregor;Um Szepter und Kronen;Zeitroman;Um Szepter und Kronen;;;1876;;;;;46
Sack, Volker;Zeitstück und Zeitroman in der Weimarer Republik;"Ödön von  Horváth: Kasimir und Karoline ; Irmgard Keun: Das kunstseidene Mädchen";Zeitstück und Zeitroman in der Weimarer Republik;;;1985;stuttgart;klett;;;48
Ropp, Max Alexis von der;Elkesragge;Ein baltischer Zeitroman von Max Alexis v. der Ropp;Elkesragge;;;1907;berlin;e. fleischel & co;;;52
Romanus, Helius;Modernisten;"Helius Romanus ; Zeit-Roman";Modernisten;;;1908;berlin-leipzig;c. wigand;;;54
Ring, Max;Streber und Kämpfer;Zeitroman;Streber und Kämpfer;;;1888;;;;;55
Ring, Max;Unfehlbar;Zeitroman;Unfehlbar;;;1874;;;;;58
Ring, Max;Fürst und Musiker;Zeitroman;Fürst und Musiker;;;1869;;;;;69
Retcliffe, John;Des Cäsars Ende;;Des Cäsars Ende;;;1876;berlin;;;;73
Reindel, Wilhelm;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;Zeitroman nach Aufzeichnungen und Mitteilungen des Scharfrichters  Wilhelm Reindel;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;;;1903;berlin;weichert;;;76
Reimann, Hans;Die Dinte wider das Blut;Ein Zeitroman;Die Dinte wider das Blut;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 6. -  10. Tsd., verb. und verm. Aufl.;;1921;hannover;steegemann;;;79
Prosper, E.;Was ich in Plaskowitsch erlebt;Ein Zeitroman;Was ich in Plaskowitsch erlebt;;;1909;graz [u.a.];"verl.-buchh. ""styria";;;84
Polko, Karl;Soziale Klippen;Ein Zeitroman von Karl Polko;Soziale Klippen;;;1907;dresden;reißner;;;85
Pérez, Galdós Benito;Gloria;Zeitroman;Gloria;;;1880;;;;;86
Pappritz, A.;Vorurteile;Ein Zeitroman aus dem märkischen Gesellschaftsleben;Vorurteile;;;1894;berlin;rüger;;;89
Pappritz, Anna;Vorurteile;E. Zeitroman aus d. märkischen Gesellschaftsleben;Vorurteile;;;1894;;;;;90
Otto-Peters, Louise;Verbrüderungsfeste;;Verbrüderungsfeste;;;1872;bremen;;;;99
Otto-Peters, Louise;Kleinstaatliches;;Kleinstaatliches;;;1872;bremen;;;;100
Otto-Peters, Louise;Deutscher Bruderkrieg;;Deutscher Bruderkrieg;;;1872;bremen;;;;101
Otto-Peters, Louise;Deutsche Wunden;Zeitroman (1864-1871);Deutsche Wunden;;;1872;;;;;102
Otto-Peters, Louise;Alldeutschland;;Alldeutschland;;;1872;bremen;;;;103
Orzeszkowa, Eliza;Ein Frauenschicksal;Socialer Zeitroman;Ein Frauenschicksal;;;1887;dresden;verlag von heinrich minden;;;104
Ortmann, Reinhold;Wer wird siegen?;Zeit-Roman von Reinhold Ortmann;Wer wird siegen?;;;1904;;;;;105
Ortmann, Reinhold;"Wer wird siegen? ; Zeit-Roman von Reinhold Ortmann";;"Wer wird siegen? ; Zeit-Roman von Reinhold Ortmann";;;1904;mannheim;bensheimer;;;106
Orlovski-Golovin, R.;Die Nihilistin;;Die Nihilistin;;;1898;stuttgart;;;;108
Oedemann, Georg Artur;Eine Straße geht durchs Land;Zeit-Roman;Eine Straße geht durchs Land;;;1938;berlin;klieber;;;111
Muwail??, Mu?ammad al;?ad?? ?Is? Ibn-Hiš?m au fatra min az-zaman;;?ad?? ?Is? Ibn-Hiš?m au fatra min az-zaman;;;1324;ma?r;al-ma??rif;;;113
Molo, Walter;Lebenswende;Ein Zeitroman von Walter v. Molo;Lebenswende;;;1915;berlin;kronen-verl.;;;114
Mohr, Mary L. F.;Zuchthaus;"Erziehung einer schönen Seele ; Zeitroman";Zuchthaus;;;1907;leipzig;moderner dresdner verl., stoll;;;115
Mevert, Ernst;Die neuen Nibelungen;Zeitroman;Die neuen Nibelungen;;;1864;;;;;117
Merckling, Charles;Grenzland-Teufel;Ein polit.-satir. Zeitroman;Grenzland-Teufel;;;1929;strassburg;hauss;;;122
Meisels, Samuel;Der Talmud als Betrüger;Zeitroman;Der Talmud als Betrüger;;;1903;berlin;s. cronbach;;;123
Meding, Oskar;Um Zepter und Kronen;Zeitroman;Um Zepter und Kronen;Ungekürzte Ausg;;1911;berlin;globus verl.;;;127
Meding, Oskar;Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;"Aus: Um Zepter und Kronen, Dreizehntes Kapitel ; Zeitroman";Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;;;1906;langensalza;wendt & klauwell;;;137
Meding, Oskar;Die Schlacht bei Langensalza;"Aus: Um Zepter und Kronen,  Vierzehntes Kapitel ; Zeitroman";Die Schlacht bei Langensalza;;;1905;langensalza;wendt & klauwell;;;139
Meding, Oskar;Krieg oder Frieden?;Zeitroman;Krieg oder Frieden?;;;1897;stuttgart;süddeutsches verl.-inst;;;141
Meding, Oskar;Gipfel und Abgrund;Zeitroman;Gipfel und Abgrund;;;1888;;;;;142
Meding, Oskar;Des Cäsars Ende;Zeitroman;Des Cäsars Ende;;;1876;;;;;152
Meding, Oskar;Zwei Kaiserkronen;"Dritte Abtheilung von ’Um Szepter und Kronen’ ;  Zeitroman";Zwei Kaiserkronen;;;1875;;;;;155
Meding, Oskar;Kreuz und Schwert;"Vierte Abtheilung von ’Um Szepter und Kronen’ ;  Zeitroman";Kreuz und Schwert;;;1875;;;;;172
Meding, Oskar;Die Römerfahrt der Epigonen;Zeit-Roman;Die Römerfahrt der Epigonen;;;1874;;;;;188
Meding, Oskar;Der Todesgruß der Legionen;Zeit-Roman;Der Todesgruß der Legionen;;;1874;;;;;192
Meding, Oskar;Europäische Minen und Gegenminen;Zeitroman;Europäische Minen und Gegenminen;;;1873;;;;;215
Meding, Oskar;Um Szepter und Kronen;[Abt. 1], 3;Um Szepter und Kronen;[Mikrofiche-Ausg.];;1872;stuttgart;hallberger;;;216
Matijevich, Elke;The Zeitroman of the late Weimar Republic;;The Zeitroman of the late Weimar Republic;;;1995;new york [u.a.];lang;;;226
Mastriani, Francesco;Mein Leichnam;Zeitroman;Mein Leichnam;;;1856;;;;;228
Mahn, Anny;Die den Weg bereiten;Ein Zeitroman;Die den Weg bereiten;;;1916;hamburg;enoch;;;231
Lubojatzky, Franz Anton;Oswald Ehrenhaupt oder Pharisäer und Zöllner;Zeitroman;Oswald Ehrenhaupt oder Pharisäer und Zöllner;;;1851;;;;;233
