author;title;subtitle;title_without_sub;edition;date;location;publishing-house
Goehring, Carl;Der Pietist;Ein religiöser Zeitroman in sechszehn Trakten;Der Pietist;;1845;grimma;verl.-comptoir
Grossmann, Julie;Eine gemischte Gesellschaft;Zeitroman;Eine gemischte Gesellschaft;;1847;breslau;
Lubojatzky, Franz Anton;Oswald Ehrenhaupt oder Pharisäer und Zöllner;Zeitroman;Oswald Ehrenhaupt oder Pharisäer und Zöllner;;1851;;
Mastriani, Francesco;Mein Leichnam;Zeitroman;Mein Leichnam;;1856;;
Gruenz, K.;"Der Weltpriester und ""Försters Lieschen""";Zeitroman [aus voller  Wahrheit];"Der Weltpriester und ""Försters Lieschen""";;1858;berlin;
Mevert, Ernst;Die neuen Nibelungen;Zeitroman;Die neuen Nibelungen;;1864;;
Ring, Max;Fürst und Musiker;Zeitroman;Fürst und Musiker;;1869;;
Friedrich, Friedrich;Die Frau des Ministers;Zeitroman;Die Frau des Ministers;;1871;berlin;
Hoefer, Edmund;Der Demagoge;Ein Zeitroman;Der Demagoge;;1872;jena;hermann castenoble
Otto-Peters, Louise;Deutsche Wunden;Zeitroman (1864-1871);Deutsche Wunden;;1872;;
Meding, Oskar;Europäische Minen und Gegenminen;Zeitroman;Europäische Minen und Gegenminen;;1873;;
Samarow, Gregor (1829-1903);Um Szepter und Kronen : Zeitroman. - 2,1. Europäische Minen und Gegenminen  : erster Band;erster Band;Um Szepter und Kronen : Zeitroman. - 2,1. Europäische Minen und Gegenminen  : erster Band;;1873;;
Meding, Oskar;Der Todesgruß der Legionen;Zeitroman;Der Todesgruß der Legionen;;1874;;
Meding, Oskar;Die Römerfahrt der Epigonen;Zeitroman;Die Römerfahrt der Epigonen;;1874;;
Ring, Max;Unfehlbar;Zeitroman;Unfehlbar;;1874;;
Meding, Oskar;Kreuz und Schwert;"Vierte Abtheilung von ’Um Szepter und Kronen’ ;  Zeitroman";Kreuz und Schwert;;1875;;
Meding, Oskar;Zwei Kaiserkronen;"Dritte Abtheilung von ’Um Szepter und Kronen’ ;  Zeitroman";Zwei Kaiserkronen;;1875;;
Retcliffe, John;Des Cäsars Ende;Zeit-Roman;Des Cäsars Ende;;1876;berlin;
Pérez, Galdós Benito;Gloria;Zeitroman;Gloria;;1880;;
Klosterzell, Kathi von;Ella das Judenkind;Ein Zeitroman;Ella das Judenkind;;1882;;
Klinck, Fanny;Im Banne der dritten Abtheilung;Zeitroman;Im Banne der dritten Abtheilung;;1884;;
Schwarz-Norberg, Eleonore;Gefährliche Verbindungen;Zeitroman;Gefährliche Verbindungen;;1884;;
Dabei, Adalmar;Ein zerschelltes Wappenschild;Zeitroman aus unsern Adelskreisen;Ein zerschelltes Wappenschild;[Mikrofiche-Ausg.];1886;dresden [u.a.];minden
Dabei, Adalmar;Vom Cirkus zum Grafenschloss : Zeitroman aus unsern Tagen;Zeitroman aus unsern Tagen;Vom Cirkus zum Grafenschloss : Zeitroman aus unsern Tagen;[Mikrofiche-Ausg.];1886;dresden;meinhold
Eschstruth, Mathilde;Meines Lebens Roman;Ein Zeitroman;Meines Lebens Roman;;1887;berlin;schottlaender
Orzeszkowa, Eliza;Ein Frauenschicksal;Socialer Zeitroman;Ein Frauenschicksal;;1887;dresden;verlag von heinrich minden
Meding, Oskar;Gipfel und Abgrund;Zeitroman;Gipfel und Abgrund;;1888;;
Ring, Max;Streber und Kämpfer;Zeitroman;Streber und Kämpfer;;1888;;
Dernburg, Friedrich;Der Oberstolze;Ein Berliner Zeitroman;Der Oberstolze;;1889;;
Bolanden, Conrad;Die Ultramontanen;Zeitroman;Die Ultramontanen;;1890;;
Crome-Schwiening, Carl;Und Bebel sprach!;Zeitroman in zwei Bänden;Und Bebel sprach!;;1893;;
Pappritz, Anna;Vorurteile;E. Zeitroman aus d. märkischen Gesellschaftsleben;Vorurteile;;1894;;
Hanstein, Adalbert von (1861-1904);Die Aktien des Glücks : humoristisch-satirischer Zeitroman;humoristisch-satirischer Zeitroman;Die Aktien des Glücks : humoristisch-satirischer Zeitroman;;1895;leipzig;tiefenbach
Crome-Schwiening, Carl;Von Friedrichscron bis Friedrichsruh;Zeitroman in 2 Bden;Von Friedrichscron bis Friedrichsruh;;1896;;
Meding, Oskar;Krieg oder Frieden?;Zeitroman;Krieg oder Frieden?;;1897;stuttgart;süddeutsches verl.-inst
Orlovski-Golovin, R.;Die Nihilistin;Zeitroman;Die Nihilistin;;1898;stuttgart;
Simon, Anna;Doktor Örtling;Zeitroman aus d. Gegenwart;Doktor Örtling;;1898;berlin;
Brun-Barnow, Ida;Er und Sie;Zeitroman v. I. v. Brun-Barnow [d.i. Ida Brunsig Edle  v. Brun];Er und Sie;;1899;breslau;s. schottlaender
Suttner, Arthur Gundaccar;Sie wollen nicht;Zeitroman von A[rtur] Gundaccar v. Suttner;Sie wollen nicht;;1899;;
Worms, Karl;Du bist mein : ein Zeitroman in 2 Büchern;ein Zeitroman in 2 Büchern;Du bist mein : ein Zeitroman in 2 Büchern;;1899;stuttgart;cotta
Skowronnek, Fritz;Zertrümmerte Götzen;Ostpreußischer Zeitroman;Zertrümmerte Götzen;;1901;berlin;janke
Brun-Barnow, Ida;Im Kampf mit Idealen;Zeitroman;Im Kampf mit Idealen;;1903;dresden [u.a.];pierson
Meisels, Samuel;Der Talmud als Betrüger;Zeitroman;Der Talmud als Betrüger;;1903;berlin;s. cronbach
Reindel, Wilhelm;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;Zeitroman nach Aufzeichnungen und Mitteilungen des Scharfrichters  Wilhelm Reindel;Wilhelm Reindel, der Scharfrichter von Magdeburg und die Opfer des  Schafotts;;1903;berlin;weichert
Ortmann, Reinhold;"Wer wird siegen? ; Zeitroman von Reinhold Ortmann";;"Wer wird siegen? ; Zeitroman von Reinhold Ortmann";;1904;mannheim;bensheimer
Kirstein, Paul A.;Glückshandel;Zeitroman von Paul A. Kirstein;Glückshandel;;1905;berlin, eisenach, leipzig;h. hillger
Meding, Oskar;Die Schlacht bei Langensalza;"Aus: Um Zepter und Kronen,  Vierzehntes Kapitel ; Zeitroman";Die Schlacht bei Langensalza;;1905;langensalza;wendt & klauwell
Meding, Oskar;Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;"Aus: Um Zepter und Kronen, Dreizehntes Kapitel ; Zeitroman";Die diplomatischen Verhandlungen vor der Schlacht bei Langensalza;;1906;langensalza;wendt & klauwell
Bierbaum, Otto Julius;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman";Prinz Kuckuck;;1907;;
Mohr, Mary L. F.;Zuchthaus;"Erziehung einer schönen Seele ; Zeitroman";Zuchthaus;;1907;leipzig;moderner dresdner verl., stoll
Polko, Karl;Soziale Klippen;Ein Zeitroman von Karl Polko;Soziale Klippen;;1907;dresden;reißner
Ropp, Max Alexis von der;Elkesragge;Ein baltischer Zeitroman von Max Alexis v. der Ropp;Elkesragge;;1907;berlin;e. fleischel & co
Heimdall;Berlins Ende;Zeitroman von Heimdall;Berlins Ende;;1908;berlin & leipzig;h. seemann
Romanus, Helius;Modernisten;"Helius Romanus ; Zeitroman";Modernisten;;1908;berlin-leipzig;c. wigand
Zapp, Arthur;Hurraschreier;Ein Zeitroman;Hurraschreier;;1908;dresden;reißner
Baitz, Josef;Ecce sacerdos;"Josef Baitz ; Ein Zeitroman";Ecce sacerdos;;1909;dresden;pierson
Fuhrmann, Otto;Von Eulenburg zu Zeppelin;Ein Zeitroman;Von Eulenburg zu Zeppelin;;1909;berlin;walther
